训练参数数量: 168/2293760
{'loss': 13.6976, 'grad_norm': 4.873683452606201, 'learning_rate': 0.0002992436974789916, 'epoch': 0.01}
{'loss': 8.0618, 'grad_norm': 4.044585227966309, 'learning_rate': 0.00029840336134453777, 'epoch': 0.02}
{'loss': 6.3621, 'grad_norm': 4.34041690826416, 'learning_rate': 0.000297563025210084, 'epoch': 0.03}
{'loss': 5.9113, 'grad_norm': 3.7682981491088867, 'learning_rate': 0.00029672268907563024, 'epoch': 0.03}
{'loss': 5.7044, 'grad_norm': 4.2510881423950195, 'learning_rate': 0.00029588235294117647, 'epoch': 0.04}
{'loss': 5.6433, 'grad_norm': 2.4159810543060303, 'learning_rate': 0.00029504201680672265, 'epoch': 0.05}
{'loss': 5.5442, 'grad_norm': 3.407367467880249, 'learning_rate': 0.0002942016806722689, 'epoch': 0.06}
{'loss': 5.3093, 'grad_norm': 3.5951626300811768, 'learning_rate': 0.00029336134453781507, 'epoch': 0.07}
{'loss': 5.4211, 'grad_norm': 3.2614681720733643, 'learning_rate': 0.0002925210084033613, 'epoch': 0.08}
{'loss': 5.3796, 'grad_norm': 2.658684730529785, 'learning_rate': 0.00029168067226890753, 'epoch': 0.08}
{'loss': 5.3858, 'grad_norm': 3.5358681678771973, 'learning_rate': 0.00029084033613445377, 'epoch': 0.09}
{'loss': 5.362, 'grad_norm': 2.978919267654419, 'learning_rate': 0.00029, 'epoch': 0.1}
{'loss': 5.3206, 'grad_norm': 3.2627785205841064, 'learning_rate': 0.0002891596638655462, 'epoch': 0.11}
{'loss': 5.3203, 'grad_norm': 3.28287672996521, 'learning_rate': 0.0002883193277310924, 'epoch': 0.12}
{'loss': 5.4661, 'grad_norm': 3.4328620433807373, 'learning_rate': 0.00028747899159663865, 'epoch': 0.13}
{'loss': 5.1852, 'grad_norm': 3.513338565826416, 'learning_rate': 0.0002866386554621849, 'epoch': 0.13}
{'loss': 5.1594, 'grad_norm': 3.0229525566101074, 'learning_rate': 0.00028579831932773106, 'epoch': 0.14}
{'loss': 5.222, 'grad_norm': 3.0855495929718018, 'learning_rate': 0.0002849579831932773, 'epoch': 0.15}
{'loss': 5.2483, 'grad_norm': 2.56081223487854, 'learning_rate': 0.0002841176470588235, 'epoch': 0.16}
{'loss': 5.2177, 'grad_norm': 3.080580472946167, 'learning_rate': 0.0002832773109243697, 'epoch': 0.17}
{'loss': 5.3194, 'grad_norm': 2.9454777240753174, 'learning_rate': 0.00028243697478991595, 'epoch': 0.18}
{'loss': 5.089, 'grad_norm': 2.651756525039673, 'learning_rate': 0.0002815966386554622, 'epoch': 0.18}
{'loss': 5.3127, 'grad_norm': 3.124264717102051, 'learning_rate': 0.00028075630252100836, 'epoch': 0.19}
{'loss': 5.0842, 'grad_norm': 3.14410138130188, 'learning_rate': 0.0002799159663865546, 'epoch': 0.2}
{'loss': 4.9941, 'grad_norm': 3.1825525760650635, 'learning_rate': 0.00027907563025210083, 'epoch': 0.21}
{'loss': 5.1227, 'grad_norm': 4.403745174407959, 'learning_rate': 0.00027823529411764706, 'epoch': 0.22}
{'loss': 5.3335, 'grad_norm': 3.051666021347046, 'learning_rate': 0.00027739495798319324, 'epoch': 0.23}
{'loss': 5.2212, 'grad_norm': 2.373304843902588, 'learning_rate': 0.0002765546218487395, 'epoch': 0.24}
{'loss': 5.0911, 'grad_norm': 2.6765387058258057, 'learning_rate': 0.00027571428571428566, 'epoch': 0.24}
{'loss': 5.2366, 'grad_norm': 2.665837287902832, 'learning_rate': 0.0002748739495798319, 'epoch': 0.25}
{'loss': 4.9695, 'grad_norm': 4.951803207397461, 'learning_rate': 0.0002740336134453781, 'epoch': 0.26}
{'loss': 4.9543, 'grad_norm': 3.87306547164917, 'learning_rate': 0.00027319327731092436, 'epoch': 0.27}
{'loss': 5.2204, 'grad_norm': 3.167236328125, 'learning_rate': 0.00027235294117647054, 'epoch': 0.28}
{'loss': 5.0643, 'grad_norm': 3.5899579524993896, 'learning_rate': 0.00027151260504201677, 'epoch': 0.29}
{'loss': 5.1653, 'grad_norm': 3.371232271194458, 'learning_rate': 0.000270672268907563, 'epoch': 0.29}
{'loss': 5.0816, 'grad_norm': 3.588374137878418, 'learning_rate': 0.00026983193277310924, 'epoch': 0.3}
{'loss': 5.1947, 'grad_norm': 2.5888819694519043, 'learning_rate': 0.0002689915966386555, 'epoch': 0.31}
{'loss': 5.203, 'grad_norm': 2.404151201248169, 'learning_rate': 0.00026815126050420165, 'epoch': 0.32}
{'loss': 5.2378, 'grad_norm': 2.8673911094665527, 'learning_rate': 0.0002673109243697479, 'epoch': 0.33}
{'loss': 5.1821, 'grad_norm': 2.8428404331207275, 'learning_rate': 0.00026647058823529407, 'epoch': 0.34}
{'loss': 5.2141, 'grad_norm': 2.455235242843628, 'learning_rate': 0.0002656302521008403, 'epoch': 0.34}
{'loss': 5.2111, 'grad_norm': 1.9612631797790527, 'learning_rate': 0.00026478991596638654, 'epoch': 0.35}
{'loss': 5.2042, 'grad_norm': 2.251220703125, 'learning_rate': 0.00026394957983193277, 'epoch': 0.36}
{'loss': 5.061, 'grad_norm': 3.3188860416412354, 'learning_rate': 0.00026310924369747895, 'epoch': 0.37}
{'loss': 5.2011, 'grad_norm': 2.2390403747558594, 'learning_rate': 0.0002622689075630252, 'epoch': 0.38}
{'loss': 5.165, 'grad_norm': 2.6481428146362305, 'learning_rate': 0.0002614285714285714, 'epoch': 0.39}
{'loss': 4.9532, 'grad_norm': 2.313910961151123, 'learning_rate': 0.00026058823529411765, 'epoch': 0.39}
{'loss': 5.314, 'grad_norm': 2.7630398273468018, 'learning_rate': 0.00025974789915966383, 'epoch': 0.4}
{'loss': 5.1559, 'grad_norm': 2.5827627182006836, 'learning_rate': 0.00025890756302521007, 'epoch': 0.41}
{'loss': 5.1966, 'grad_norm': 2.5235788822174072, 'learning_rate': 0.0002580672268907563, 'epoch': 0.42}
{'loss': 5.115, 'grad_norm': 2.603991746902466, 'learning_rate': 0.0002572268907563025, 'epoch': 0.43}
{'loss': 5.2721, 'grad_norm': 3.1448559761047363, 'learning_rate': 0.0002563865546218487, 'epoch': 0.44}
{'loss': 4.8881, 'grad_norm': 3.2619144916534424, 'learning_rate': 0.00025554621848739495, 'epoch': 0.45}
{'loss': 5.4692, 'grad_norm': 2.0604095458984375, 'learning_rate': 0.0002547058823529411, 'epoch': 0.45}
{'loss': 5.0238, 'grad_norm': 2.7679731845855713, 'learning_rate': 0.00025386554621848736, 'epoch': 0.46}
{'loss': 5.306, 'grad_norm': 2.653658628463745, 'learning_rate': 0.0002530252100840336, 'epoch': 0.47}
{'loss': 5.1102, 'grad_norm': 2.531182050704956, 'learning_rate': 0.00025218487394957983, 'epoch': 0.48}
{'loss': 5.0961, 'grad_norm': 3.169895648956299, 'learning_rate': 0.000251344537815126, 'epoch': 0.49}
{'loss': 5.1538, 'grad_norm': 3.3786728382110596, 'learning_rate': 0.00025050420168067224, 'epoch': 0.5}
{'loss': 5.1902, 'grad_norm': 2.963254690170288, 'learning_rate': 0.0002496638655462185, 'epoch': 0.5}
{'loss': 5.3674, 'grad_norm': 2.28140926361084, 'learning_rate': 0.0002488235294117647, 'epoch': 0.51}
{'loss': 5.1813, 'grad_norm': 2.623234748840332, 'learning_rate': 0.0002479831932773109, 'epoch': 0.52}
{'loss': 5.1093, 'grad_norm': 3.5799074172973633, 'learning_rate': 0.0002471428571428571, 'epoch': 0.53}
{'loss': 5.2207, 'grad_norm': 2.1702914237976074, 'learning_rate': 0.0002463025210084033, 'epoch': 0.54}
{'loss': 5.1222, 'grad_norm': 2.41039776802063, 'learning_rate': 0.00024546218487394954, 'epoch': 0.55}
{'loss': 5.082, 'grad_norm': 2.511209011077881, 'learning_rate': 0.0002446218487394958, 'epoch': 0.55}
{'loss': 5.1926, 'grad_norm': 2.3443870544433594, 'learning_rate': 0.000243781512605042, 'epoch': 0.56}
{'loss': 5.1901, 'grad_norm': 2.2948248386383057, 'learning_rate': 0.00024294117647058821, 'epoch': 0.57}
{'loss': 5.0275, 'grad_norm': 2.610787868499756, 'learning_rate': 0.00024210084033613445, 'epoch': 0.58}
{'loss': 5.2167, 'grad_norm': 2.5505154132843018, 'learning_rate': 0.00024126050420168066, 'epoch': 0.59}
{'loss': 5.0819, 'grad_norm': 2.9627842903137207, 'learning_rate': 0.0002404201680672269, 'epoch': 0.6}
{'loss': 5.0291, 'grad_norm': 2.377197742462158, 'learning_rate': 0.0002395798319327731, 'epoch': 0.61}
{'loss': 5.2131, 'grad_norm': 3.2313902378082275, 'learning_rate': 0.0002387394957983193, 'epoch': 0.61}
